Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Mathieu Perreault,L,C,25.0,4.0,5.0,9.0,2.0,0.36,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,14.8,11.25
Matias Maccelli,L,L,169.0,29.0,83.0,112.0,-14.0,0.66,26.0,85.0,3.0,26.0,0.0,1.0,1.0,3.0,231.0,12.6,15.75
Mats Zuccarello,L,R,217.0,58.0,151.0,209.0,13.0,0.96,37.0,119.0,21.0,90.0,0.0,0.0,1.0,6.0,530.0,10.9,19.266666666666666
Matt Benning,R,D,156.0,1.0,36.0,37.0,-47.0,0.24,1.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,132.0,0.8,18.233333333333334
Matt Boldy,L,L,203.0,75.0,96.0,171.0,23.0,0.84,54.0,110.0,21.0,61.0,0.0,0.0,2.0,14.0,595.0,12.6,17.933333333333334
Matt Coronato,R,R,35.0,3.0,6.0,9.0,-14.0,0.26,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,62.0,4.8,12.666666666666666
Matt Duchene,L,C,229.0,90.0,117.0,207.0,25.0,0.9,63.0,149.0,27.0,58.0,0.0,0.0,6.0,16.0,568.0,15.9,18.016666666666666
Matt Grzelcyk,L,D,211.0,10.0,51.0,61.0,81.0,0.29,10.0,56.0,0.0,5.0,0.0,0.0,1.0,4.0,279.0,3.6,17.866666666666667
Matt Irwin,L,D,78.0,3.0,6.0,9.0,-8.0,0.12,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2.8,12.95
Matt Kiersted,L,D,30.0,2.0,4.0,6.0,-4.0,0.2,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,11.25
Matt Luff,R,R,42.0,5.0,5.0,10.0,-1.0,0.24,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,10.9,9.616666666666667
Matt Martin,L,L,209.0,14.0,20.0,34.0,9.0,0.16,14.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,196.0,7.1,10.75
Matt Nieto,L,L,173.0,19.0,26.0,45.0,-30.0,0.26,19.0,44.0,0.0,1.0,0.0,0.0,0.0,2.0,210.0,9.1,13.633333333333333
Matt Rempe,R,C,17.0,1.0,1.0,2.0,1.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,8.3,5.633333333333333
Matt Roy,R,D,230.0,16.0,56.0,72.0,52.0,0.31,15.0,63.0,0.0,3.0,1.0,6.0,0.0,3.0,423.0,3.8,20.166666666666668
Matthew Highmore,L,C,55.0,5.0,9.0,14.0,2.0,0.25,4.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,7.8,11.983333333333333
Matthew Kessel,R,D,41.0,1.0,6.0,7.0,-1.0,0.17,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.2,16.716666666666665
Matthew Knies,L,L,83.0,15.0,21.0,36.0,10.0,0.43,15.0,34.0,0.0,2.0,0.0,0.0,0.0,3.0,119.0,12.6,13.65
Matthew Phillips,R,R,33.0,1.0,4.0,5.0,-3.0,0.15,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.6,10.116666666666667
Matthew Poitras,R,C,33.0,5.0,10.0,15.0,4.0,0.45,5.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,12.5,13.4
Matthew Tkachuk,L,L,241.0,108.0,193.0,301.0,105.0,1.25,75.0,202.0,32.0,97.0,1.0,2.0,0.0,14.0,855.0,12.6,18.983333333333334
Mattias Ekholm,L,D,233.0,26.0,82.0,108.0,86.0,0.46,23.0,94.0,2.0,11.0,1.0,3.0,0.0,4.0,457.0,5.7,21.983333333333334
Mattias Janmark,L,C,204.0,23.0,39.0,62.0,12.0,0.3,18.0,55.0,0.0,0.0,5.0,7.0,0.0,2.0,235.0,9.8,13.6
Mattias Samuelsson,L,D,138.0,3.0,24.0,27.0,8.0,0.2,3.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,164.0,1.8,21.016666666666666
Matty Beniers,L,C,167.0,42.0,61.0,103.0,2.0,0.62,30.0,75.0,12.0,27.0,0.0,1.0,1.0,5.0,299.0,14.1,17.483333333333334
Max Domi,L,C,232.0,40.0,102.0,142.0,5.0,0.61,31.0,117.0,9.0,25.0,0.0,0.0,2.0,6.0,420.0,9.5,14.933333333333334
Max Jones,L,L,123.0,14.0,20.0,34.0,-28.0,0.28,14.0,33.0,0.0,1.0,0.0,0.0,0.0,2.0,185.0,7.6,12.383333333333333
Max Pacioretty,L,L,91.0,26.0,37.0,63.0,-6.0,0.69,19.0,39.0,7.0,24.0,0.0,0.0,0.0,4.0,259.0,10.0,15.65
Max Willman,L,C,68.0,7.0,3.0,10.0,-15.0,0.15,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,7.7,10.483333333333333
Maxim Mamin,L,C,40.0,7.0,7.0,14.0,8.0,0.35,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,14.3,11.9
