Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Dmitri Voronkov,L,L,75.0,18.0,16.0,34.0,-6.0,0.45,12.0,26.0,6.0,8.0,0.0,0.0,0.0,2.0,142.0,12.7,13.45
Dmitry Kulikov,L,D,223.0,11.0,49.0,60.0,25.0,0.27,11.0,58.0,0.0,0.0,0.0,2.0,1.0,2.0,232.0,4.7,18.0
Dmitry Orlov,L,D,224.0,25.0,72.0,97.0,41.0,0.43,21.0,78.0,3.0,17.0,1.0,2.0,3.0,7.0,380.0,6.6,20.1
Dominic Toninato,L,C,97.0,8.0,12.0,20.0,8.0,0.21,7.0,15.0,0.0,1.0,1.0,4.0,0.0,2.0,63.0,12.7,8.65
Dominik Kubalik,L,L,233.0,46.0,46.0,92.0,-61.0,0.39,32.0,62.0,14.0,30.0,0.0,0.0,1.0,5.0,426.0,10.8,13.9
Dominik Simon,L,C,72.0,3.0,10.0,13.0,0.0,0.18,3.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,88.0,3.4,10.283333333333333
Dougie Hamilton,R,D,164.0,36.0,84.0,120.0,-4.0,0.73,22.0,76.0,14.0,44.0,0.0,0.0,3.0,8.0,533.0,6.8,21.466666666666665
Drake Batherson,R,R,210.0,67.0,105.0,172.0,-40.0,0.82,43.0,107.0,24.0,65.0,0.0,0.0,2.0,9.0,555.0,12.1,18.5
Drake Caggiula,L,L,22.0,2.0,3.0,5.0,-5.0,0.23,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,8.0,13.183333333333334
Drew Doughty,R,D,202.0,31.0,102.0,133.0,31.0,0.66,16.0,73.0,15.0,60.0,0.0,0.0,1.0,6.0,379.0,8.2,25.95
Drew O'Connor,L,L,147.0,24.0,25.0,49.0,10.0,0.33,23.0,47.0,0.0,0.0,1.0,2.0,0.0,2.0,262.0,9.2,13.066666666666666
Dryden Hunt,L,L,141.0,12.0,16.0,28.0,-19.0,0.2,12.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0,8.0,10.95
Duncan Keith,L,D,64.0,1.0,20.0,21.0,15.0,0.33,1.0,19.0,0.0,2.0,0.0,0.0,0.0,1.0,79.0,1.3,19.733333333333334
Dustin Brown,R,R,64.0,9.0,19.0,28.0,-3.0,0.44,8.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,146.0,6.2,14.733333333333333
Dylan Coghlan,R,D,77.0,3.0,13.0,16.0,-8.0,0.21,1.0,12.0,2.0,4.0,0.0,0.0,0.0,1.0,140.0,2.1,13.916666666666666
Dylan Cozens,R,C,239.0,62.0,91.0,153.0,-26.0,0.64,48.0,109.0,9.0,37.0,5.0,7.0,2.0,3.0,571.0,10.9,16.533333333333335
Dylan DeMelo,R,D,233.0,10.0,61.0,71.0,66.0,0.3,8.0,65.0,0.0,1.0,2.0,5.0,0.0,1.0,254.0,3.9,19.983333333333334
Dylan Gambrell,R,C,123.0,7.0,10.0,17.0,-2.0,0.14,6.0,14.0,0.0,0.0,1.0,3.0,0.0,0.0,104.0,6.7,11.766666666666667
Dylan Guenther,R,R,78.0,24.0,26.0,50.0,-8.0,0.64,10.0,29.0,13.0,19.0,1.0,2.0,1.0,5.0,174.0,13.8,14.933333333333334
Dylan Holloway,L,L,89.0,9.0,9.0,18.0,-1.0,0.2,8.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,100.0,9.0,10.35
Dylan Larkin,L,C,219.0,96.0,121.0,217.0,-20.0,0.99,57.0,143.0,36.0,70.0,3.0,4.0,5.0,14.0,677.0,14.2,19.783333333333335
Dylan Samberg,L,D,156.0,3.0,28.0,31.0,29.0,0.2,3.0,28.0,0.0,1.0,0.0,2.0,0.0,0.0,140.0,2.1,15.266666666666667
Dylan Strome,L,C,232.0,72.0,108.0,180.0,-23.0,0.78,58.0,121.0,14.0,59.0,0.0,0.0,3.0,9.0,449.0,16.0,17.35
Dysin Mayo,R,D,82.0,4.0,8.0,12.0,-30.0,0.15,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,4.8,19.233333333333334
Eeli Tolvanen,L,R,217.0,45.0,50.0,95.0,-14.0,0.44,39.0,72.0,6.0,23.0,0.0,0.0,0.0,8.0,420.0,10.7,14.566666666666666
Eetu Luostarinen,L,C,242.0,38.0,58.0,96.0,21.0,0.4,32.0,83.0,4.0,8.0,2.0,5.0,1.0,7.0,335.0,11.3,15.15
Egor Afanasyev,L,L,19.0,1.0,0.0,1.0,-8.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.9,11.066666666666666
Egor Zamula,L,D,90.0,5.0,20.0,25.0,-3.0,0.28,3.0,15.0,2.0,9.0,0.0,1.0,0.0,1.0,73.0,6.9,15.666666666666666
Elias Lindholm,R,C,237.0,79.0,111.0,190.0,53.0,0.8,50.0,130.0,26.0,52.0,3.0,8.0,2.0,15.0,594.0,13.3,19.433333333333334
Elias Pettersson,L,C,242.0,105.0,154.0,259.0,37.0,1.07,69.0,163.0,29.0,83.0,7.0,13.0,5.0,19.0,656.0,16.0,19.6
Elmer Soderblom,L,L,21.0,5.0,3.0,8.0,0.0,0.38,5.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,16.7,12.066666666666666
Emil Bemstrom,R,C,152.0,21.0,28.0,49.0,-17.0,0.32,14.0,38.0,7.0,11.0,0.0,0.0,0.0,2.0,240.0,8.8,11.316666666666666
Emil Lilleberg,L,D,37.0,0.0,5.0,5.0,-15.0,0.14,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,16.2
Eric Robinson,L,L,186.0,25.0,36.0,61.0,-25.0,0.33,23.0,57.0,0.0,0.0,2.0,4.0,0.0,3.0,263.0,9.5,13.266666666666667
Eric Staal,L,C,72.0,14.0,15.0,29.0,-5.0,0.4,12.0,27.0,0.0,0.0,2.0,2.0,0.0,1.0,106.0,13.2,14.233333333333333
Erik Brannstrom,L,D,203.0,5.0,47.0,52.0,-7.0,0.26,5.0,44.0,0.0,7.0,0.0,1.0,0.0,0.0,237.0,2.1,17.25
Erik Cernak,R,D,194.0,5.0,37.0,42.0,20.0,0.22,4.0,40.0,0.0,0.0,1.0,2.0,0.0,0.0,226.0,2.2,19.2
Erik Gudbranson,R,D,226.0,13.0,43.0,56.0,-23.0,0.25,13.0,55.0,0.0,0.0,0.0,1.0,0.0,2.0,322.0,4.0,19.65
Erik Gustafsson,L,D,205.0,16.0,75.0,91.0,8.0,0.44,16.0,64.0,0.0,27.0,0.0,0.0,0.0,3.0,294.0,5.4,17.866666666666667
Erik Haula,L,L,234.0,48.0,72.0,120.0,31.0,0.51,40.0,101.0,5.0,14.0,3.0,5.0,0.0,5.0,460.0,10.4,16.2
Erik Johnson,R,D,207.0,13.0,26.0,39.0,16.0,0.19,12.0,35.0,0.0,1.0,1.0,3.0,0.0,2.0,297.0,4.4,16.366666666666667
Erik Karlsson,R,D,214.0,46.0,146.0,192.0,-36.0,0.9,39.0,138.0,7.0,54.0,0.0,0.0,5.0,10.0,539.0,8.5,24.6
Esa Lindell,L,D,240.0,17.0,58.0,75.0,50.0,0.31,16.0,66.0,0.0,3.0,1.0,6.0,0.0,2.0,366.0,4.6,20.783333333333335
Ethan Bear,R,D,143.0,9.0,25.0,34.0,2.0,0.24,9.0,32.0,0.0,1.0,0.0,1.0,0.0,4.0,196.0,4.6,16.933333333333334
Evan Bouchard,R,D,244.0,38.0,127.0,165.0,50.0,0.68,26.0,108.0,12.0,55.0,0.0,2.0,3.0,10.0,581.0,6.5,20.433333333333334
Evan Rodrigues,R,C,231.0,47.0,74.0,121.0,36.0,0.52,31.0,92.0,16.0,29.0,0.0,0.0,0.0,5.0,613.0,7.7,16.2
Evander Kane,L,L,161.0,62.0,49.0,111.0,17.0,0.69,53.0,92.0,5.0,13.0,4.0,6.0,1.0,9.0,518.0,12.0,17.983333333333334
Evgeni Malkin,L,C,205.0,74.0,118.0,192.0,-17.0,0.94,48.0,118.0,26.0,74.0,0.0,0.0,1.0,10.0,568.0,13.0,18.533333333333335
Evgenii Dadonov,L,R,202.0,39.0,60.0,99.0,-10.0,0.49,33.0,81.0,6.0,18.0,0.0,0.0,2.0,7.0,354.0,11.0,14.75
Evgeny Kuznetsov,L,C,223.0,44.0,113.0,157.0,-30.0,0.7,27.0,100.0,14.0,52.0,3.0,5.0,1.0,7.0,476.0,9.2,18.7
Evgeny Svechnikov,L,L,131.0,15.0,18.0,33.0,-10.0,0.25,15.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,10.6,10.75
Fabian Zetterlund,R,L,163.0,33.0,42.0,75.0,-35.0,0.46,25.0,55.0,7.0,19.0,1.0,1.0,1.0,1.0,358.0,9.2,16.083333333333332
Filip Chytil,L,C,151.0,30.0,43.0,73.0,14.0,0.48,27.0,66.0,3.0,7.0,0.0,0.0,1.0,5.0,334.0,9.0,14.1
Filip Forsberg,R,L,201.0,109.0,111.0,220.0,24.0,1.09,82.0,148.0,27.0,72.0,0.0,0.0,4.0,21.0,730.0,14.9,18.266666666666666
Filip Hronek,R,D,223.0,19.0,106.0,125.0,11.0,0.56,11.0,91.0,8.0,34.0,0.0,0.0,0.0,1.0,405.0,4.7,22.45
Filip Roos,L,D,21.0,1.0,2.0,3.0,-9.0,0.14,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.8,15.933333333333334
Filip Zadina,L,R,176.0,26.0,28.0,54.0,-73.0,0.31,19.0,42.0,7.0,12.0,0.0,0.0,0.0,6.0,342.0,7.6,13.65
Frank Vatrano,L,R,234.0,77.0,56.0,133.0,-45.0,0.57,55.0,98.0,19.0,31.0,3.0,4.0,4.0,11.0,664.0,11.6,16.2
Frederick Gaudreau,R,C,225.0,38.0,59.0,97.0,-1.0,0.43,28.0,76.0,6.0,14.0,4.0,7.0,1.0,8.0,375.0,10.1,15.516666666666667
Fredrik Olofsson,L,L,85.0,4.0,9.0,13.0,-5.0,0.15,4.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,79.0,5.1,9.9
Gabriel Carlsson,L,D,44.0,2.0,9.0,11.0,5.0,0.25,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.5,12.466666666666667
Gabriel Landeskog,L,L,51.0,30.0,29.0,59.0,27.0,1.16,23.0,44.0,7.0,15.0,0.0,0.0,1.0,5.0,150.0,20.0,20.316666666666666
Gabriel Vilardi,R,C,135.0,50.0,34.0,84.0,16.0,0.62,34.0,59.0,16.0,25.0,0.0,0.0,0.0,12.0,280.0,17.9,15.7
Garnet Hathaway,R,R,242.0,34.0,31.0,65.0,17.0,0.27,33.0,60.0,0.0,0.0,1.0,5.0,0.0,8.0,315.0,10.8,12.533333333333333
Gavin Bayreuther,L,D,94.0,2.0,20.0,22.0,-18.0,0.23,2.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,1.9,14.616666666666667
Gerry Mayhew,R,C,40.0,11.0,1.0,12.0,-6.0,0.3,10.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,20.8,13.183333333333334
Givani Smith,L,R,118.0,6.0,9.0,15.0,-21.0,0.13,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,5.4,7.816666666666666
Grant Hutton,R,D,18.0,1.0,0.0,1.0,0.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.6,13.583333333333334
Greg McKegg,L,C,43.0,2.0,3.0,5.0,-11.0,0.12,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,8.0,10.866666666666667
Gregory Hofmann,L,C,24.0,2.0,5.0,7.0,6.0,0.29,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,6.1,12.5
Grigori Denisenko,R,L,25.0,0.0,3.0,3.0,-8.0,0.12,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,10.35
Guillaume Brisebois,L,D,18.0,1.0,2.0,3.0,-3.0,0.17,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.7,15.85
Gustav Forsling,L,D,232.0,33.0,84.0,117.0,116.0,0.5,31.0,108.0,2.0,7.0,0.0,2.0,2.0,5.0,514.0,6.4,22.316666666666666
Gustav Lindstrom,R,D,145.0,5.0,26.0,31.0,-16.0,0.21,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,5.7,15.4
Gustav Nyquist,L,C,214.0,52.0,103.0,155.0,-14.0,0.72,36.0,112.0,9.0,35.0,7.0,8.0,0.0,6.0,377.0,13.8,17.75
Hampus Lindholm,L,D,224.0,18.0,88.0,106.0,77.0,0.47,15.0,78.0,3.0,27.0,0.0,1.0,1.0,3.0,399.0,4.5,23.0
Haydn Fleury,L,D,89.0,3.0,7.0,10.0,-5.0,0.11,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,2.7,15.1
Hendrix Lapierre,L,C,57.0,9.0,14.0,23.0,1.0,0.4,9.0,21.0,0.0,2.0,0.0,0.0,0.0,1.0,58.0,15.5,11.25
Henri Jokiharju,R,D,194.0,9.0,43.0,52.0,-6.0,0.27,9.0,47.0,0.0,4.0,0.0,1.0,1.0,1.0,246.0,3.7,20.516666666666666
Henrik Borgstrom,L,C,53.0,4.0,3.0,7.0,-14.0,0.13,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,9.8,10.466666666666667
Henry Thrun,L,D,59.0,3.0,10.0,13.0,-25.0,0.22,1.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,55.0,5.5,19.983333333333334
Hudson Fasching,R,R,105.0,14.0,19.0,33.0,0.0,0.31,14.0,32.0,0.0,1.0,0.0,0.0,0.0,2.0,105.0,13.3,12.016666666666667
Ian Cole,L,D,231.0,7.0,40.0,47.0,38.0,0.2,7.0,46.0,0.0,0.0,0.0,1.0,0.0,1.0,247.0,2.8,18.433333333333334
Ian Mitchell,R,D,56.0,1.0,10.0,11.0,-5.0,0.2,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,2.6,15.15
Ilya Lyubushkin,R,D,219.0,4.0,33.0,37.0,-15.0,0.17,3.0,34.0,0.0,0.0,1.0,3.0,1.0,1.0,142.0,2.8,16.583333333333332
Ilya Mikheyev,L,R,177.0,45.0,46.0,91.0,20.0,0.51,36.0,79.0,5.0,8.0,4.0,4.0,0.0,7.0,385.0,11.7,15.25
Isaak Phillips,L,D,53.0,1.0,10.0,11.0,-37.0,0.21,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,16.233333333333334
Isac Lundestrom,L,C,187.0,25.0,29.0,54.0,-17.0,0.29,19.0,47.0,0.0,1.0,6.0,6.0,0.0,3.0,181.0,13.8,14.833333333333334
Ivan Barbashev,L,C,245.0,61.0,89.0,150.0,20.0,0.61,51.0,128.0,9.0,19.0,1.0,3.0,0.0,7.0,359.0,17.0,16.433333333333334
Ivan Miroshnichenko,R,L,21.0,2.0,4.0,6.0,-4.0,0.29,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,6.7,12.133333333333333
Ivan Provorov,L,D,243.0,20.0,70.0,90.0,-48.0,0.37,19.0,70.0,1.0,16.0,0.0,4.0,2.0,2.0,392.0,5.1,23.333333333333332
J.T. Compher,R,L,229.0,54.0,79.0,133.0,9.0,0.58,37.0,100.0,14.0,30.0,3.0,3.0,0.0,3.0,364.0,14.8,18.866666666666667
J.T. Miller,L,C,242.0,101.0,183.0,284.0,40.0,1.17,65.0,163.0,29.0,108.0,7.0,13.0,6.0,18.0,623.0,16.2,20.416666666666668
JJ Peterka,L,R,161.0,40.0,42.0,82.0,-5.0,0.51,35.0,70.0,5.0,12.0,0.0,0.0,0.0,6.0,354.0,11.3,15.083333333333334
Jaccob Slavin,L,D,236.0,17.0,89.0,106.0,74.0,0.45,14.0,93.0,1.0,7.0,2.0,6.0,1.0,2.0,447.0,3.8,22.15
Jack Drury,L,C,114.0,12.0,25.0,37.0,10.0,0.32,10.0,29.0,2.0,8.0,0.0,0.0,0.0,1.0,181.0,6.6,11.85
Jack Eichel,R,C,164.0,72.0,87.0,159.0,33.0,0.97,56.0,112.0,16.0,44.0,0.0,3.0,3.0,11.0,634.0,11.4,19.566666666666666
Jack Hughes,L,C,189.0,96.0,133.0,229.0,-18.0,1.21,72.0,153.0,24.0,76.0,0.0,0.0,5.0,12.0,775.0,12.4,20.2
Jack Johnson,L,D,237.0,6.0,27.0,33.0,5.0,0.14,6.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,225.0,2.7,16.966666666666665
Jack McBain,L,C,159.0,22.0,33.0,55.0,-6.0,0.35,22.0,55.0,0.0,0.0,0.0,0.0,1.0,4.0,154.0,14.3,13.416666666666666
Jack Quinn,R,R,104.0,24.0,34.0,58.0,-8.0,0.56,21.0,47.0,3.0,10.0,0.0,1.0,0.0,4.0,188.0,12.8,14.333333333333334
Jack Rathbone,L,D,20.0,1.0,1.0,2.0,-6.0,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.6,14.05
Jack Roslovic,R,C,217.0,42.0,78.0,120.0,-22.0,0.55,33.0,96.0,6.0,20.0,3.0,4.0,3.0,9.0,371.0,11.3,15.4
Jack Studnicka,R,C,85.0,5.0,7.0,12.0,-29.0,0.14,5.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,4.7,11.166666666666666
Jackson Cates,L,C,16.0,1.0,0.0,1.0,-2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.3,9.05
Jackson LaCombe,L,D,73.0,2.0,15.0,17.0,-25.0,0.23,2.0,14.0,0.0,2.0,0.0,1.0,0.0,1.0,56.0,3.6,19.35
Jacob Bernard-Docker,R,D,99.0,4.0,12.0,16.0,-8.0,0.16,4.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,5.1,15.683333333333334
Jacob Bryson,L,D,168.0,3.0,24.0,27.0,-28.0,0.16,2.0,19.0,1.0,7.0,0.0,1.0,0.0,0.0,85.0,3.5,16.233333333333334
Jacob MacDonald,L,D,100.0,8.0,9.0,17.0,-29.0,0.17,5.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,141.0,5.7,11.883333333333333
Jacob Moverare,L,D,45.0,1.0,2.0,3.0,2.0,0.07,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.1,13.133333333333333
Jacob Peterson,L,C,83.0,14.0,11.0,25.0,-16.0,0.3,12.0,22.0,2.0,3.0,0.0,0.0,0.0,5.0,109.0,12.8,12.15
Jacob Trouba,R,D,232.0,22.0,69.0,91.0,28.0,0.39,18.0,76.0,3.0,10.0,1.0,5.0,0.0,3.0,532.0,4.1,21.65
Jaden Schwartz,L,C,170.0,42.0,51.0,93.0,-45.0,0.55,28.0,71.0,14.0,22.0,0.0,0.0,0.0,2.0,385.0,10.9,17.266666666666666
Jake Bean,L,D,153.0,12.0,32.0,44.0,-17.0,0.29,12.0,38.0,0.0,5.0,0.0,1.0,2.0,2.0,182.0,6.6,18.133333333333333
Jake Christiansen,L,D,44.0,1.0,6.0,7.0,-11.0,0.16,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,2.8,13.683333333333334
Jake DeBrusk,L,L,221.0,71.0,61.0,132.0,36.0,0.6,58.0,101.0,11.0,28.0,2.0,3.0,3.0,17.0,558.0,12.7,16.183333333333334
Jake Evans,R,C,208.0,22.0,54.0,76.0,-11.0,0.37,20.0,71.0,1.0,1.0,1.0,4.0,0.0,1.0,260.0,8.5,15.483333333333333
Jake Guentzel,L,C,221.0,106.0,128.0,234.0,40.0,1.06,83.0,167.0,23.0,67.0,0.0,0.0,2.0,15.0,746.0,14.2,20.083333333333332
Jake Leschyshyn,L,C,77.0,2.0,4.0,6.0,-13.0,0.08,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.0,10.25
Jake Lucchini,L,C,51.0,3.0,3.0,6.0,-5.0,0.12,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,36.0,8.3,10.05
Jake McCabe,L,D,224.0,15.0,60.0,75.0,12.0,0.33,14.0,72.0,1.0,2.0,0.0,1.0,1.0,4.0,249.0,6.0,20.133333333333333
Jake Middleton,L,D,225.0,14.0,40.0,54.0,10.0,0.24,14.0,50.0,0.0,1.0,0.0,3.0,0.0,1.0,237.0,5.9,19.216666666666665
Jake Muzzin,L,D,51.0,3.0,12.0,15.0,-6.0,0.29,3.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,3.6,20.416666666666668
Jake Neighbours,L,L,129.0,34.0,16.0,50.0,-37.0,0.39,25.0,34.0,9.0,16.0,0.0,0.0,0.0,6.0,206.0,16.5,14.166666666666666
Jake Sanderson,L,D,156.0,14.0,56.0,70.0,2.0,0.45,9.0,39.0,5.0,31.0,0.0,0.0,1.0,3.0,290.0,4.8,22.583333333333332
Jake Walman,L,D,177.0,24.0,25.0,49.0,5.0,0.28,23.0,41.0,1.0,7.0,0.0,1.0,3.0,5.0,335.0,7.2,18.1
Jakob Chychrun,L,D,177.0,30.0,65.0,95.0,-43.0,0.54,18.0,70.0,12.0,25.0,0.0,0.0,1.0,4.0,489.0,6.1,22.633333333333333
Jakob Pelletier,L,L,37.0,4.0,6.0,10.0,-4.0,0.27,2.0,7.0,2.0,3.0,0.0,0.0,0.0,2.0,57.0,7.0,12.45
Jakob Silfverberg,R,R,215.0,22.0,44.0,66.0,-19.0,0.31,15.0,48.0,6.0,16.0,1.0,2.0,0.0,3.0,363.0,6.1,14.833333333333334
Jakub Lauko,L,C,83.0,6.0,11.0,17.0,-1.0,0.2,6.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,10.0,9.55
Jakub Voracek,L,R,90.0,7.0,61.0,68.0,-20.0,0.76,4.0,42.0,3.0,26.0,0.0,0.0,1.0,2.0,164.0,4.3,17.283333333333335
Jakub Vrana,L,L,72.0,26.0,15.0,41.0,-12.0,0.57,17.0,31.0,9.0,10.0,0.0,0.0,1.0,5.0,170.0,15.3,13.983333333333333
Jakub Zboril,L,D,32.0,1.0,6.0,7.0,0.0,0.22,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,3.9,14.05
Jalen Chatfield,R,D,166.0,14.0,25.0,39.0,39.0,0.23,13.0,37.0,0.0,0.0,1.0,2.0,0.0,4.0,208.0,6.7,14.65
James Hamblin,L,L,41.0,2.0,1.0,3.0,0.0,0.07,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.7,8.15
James Neal,L,L,19.0,2.0,2.0,4.0,-1.0,0.21,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,31.0,6.5,11.966666666666667
James van Riemsdyk,L,L,214.0,47.0,58.0,105.0,-29.0,0.49,30.0,80.0,17.0,25.0,0.0,0.0,0.0,8.0,447.0,10.5,15.033333333333333
Jamie Benn,L,L,246.0,72.0,112.0,184.0,18.0,0.75,45.0,114.0,23.0,63.0,4.0,7.0,2.0,9.0,536.0,13.4,15.883333333333333
Jamie Drysdale,R,D,123.0,7.0,35.0,42.0,-49.0,0.34,6.0,27.0,1.0,14.0,0.0,1.0,1.0,1.0,200.0,3.5,19.666666666666668
Jamie Oleksiak,L,D,229.0,12.0,45.0,57.0,10.0,0.25,12.0,54.0,0.0,0.0,0.0,3.0,0.0,2.0,279.0,4.3,19.416666666666668
Jan Jenik,L,C,20.0,2.0,2.0,4.0,-7.0,0.2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,8.3,9.616666666666667
Jan Rutta,R,D,201.0,11.0,35.0,46.0,7.0,0.23,11.0,44.0,0.0,0.0,0.0,2.0,0.0,1.0,219.0,5.0,17.733333333333334
Jani Hakanpää,R,D,226.0,12.0,28.0,40.0,29.0,0.18,12.0,39.0,0.0,0.0,0.0,1.0,0.0,2.0,210.0,5.7,18.033333333333335
Janis Moser,L,D,205.0,16.0,56.0,72.0,-27.0,0.35,12.0,54.0,4.0,16.0,0.0,2.0,0.0,2.0,210.0,7.6,20.366666666666667
Janne Kuokkanen,L,C,57.0,6.0,11.0,17.0,-10.0,0.3,4.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,64.0,9.4,13.483333333333333
Jansen Harkins,L,C,144.0,10.0,12.0,22.0,-8.0,0.15,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,8.2,9.283333333333333
Jared McCann,L,L,233.0,96.0,86.0,182.0,-18.0,0.78,66.0,120.0,24.0,56.0,6.0,6.0,1.0,7.0,625.0,15.4,16.416666666666668
Jared Spurgeon,R,D,160.0,21.0,58.0,79.0,69.0,0.49,20.0,57.0,1.0,21.0,0.0,1.0,2.0,5.0,286.0,7.3,21.7
Jaret Anderson-Dolan,L,C,84.0,8.0,8.0,16.0,-19.0,0.19,7.0,14.0,0.0,1.0,1.0,1.0,0.0,2.0,90.0,8.9,11.033333333333333
Jarred Tinordi,L,D,103.0,3.0,15.0,18.0,-49.0,0.17,3.0,17.0,0.0,0.0,0.0,1.0,0.0,2.0,69.0,4.4,15.8
Jason Dickinson,L,C,222.0,36.0,40.0,76.0,-26.0,0.34,33.0,69.0,3.0,3.0,0.0,4.0,0.0,5.0,306.0,11.8,15.366666666666667
Jason Robertson,L,L,238.0,116.0,152.0,268.0,72.0,1.13,81.0,178.0,35.0,90.0,0.0,0.0,3.0,22.0,764.0,15.2,18.433333333333334
Jason Spezza,R,C,71.0,12.0,13.0,25.0,-3.0,0.35,9.0,15.0,3.0,10.0,0.0,0.0,0.0,1.0,97.0,12.4,10.75
Jason Zucker,L,L,188.0,49.0,48.0,97.0,-15.0,0.52,40.0,76.0,9.0,21.0,0.0,0.0,1.0,5.0,449.0,10.9,14.8
Jasper Weatherby,L,C,50.0,5.0,6.0,11.0,-14.0,0.22,4.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,45.0,11.1,11.233333333333333
Jay Beagle,R,C,33.0,1.0,1.0,2.0,-20.0,0.06,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.2,13.783333333333333
Jaycob Megna,L,D,142.0,3.0,19.0,22.0,-13.0,0.15,3.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,124.0,2.4,18.533333333333335
Jayden Struble,L,D,56.0,3.0,7.0,10.0,-3.0,0.18,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,6.4,16.116666666666667
Jayson Megna,R,C,76.0,2.0,9.0,11.0,-23.0,0.14,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.6,10.1
Jean-Gabriel Pageau,R,C,229.0,42.0,70.0,112.0,-10.0,0.49,27.0,81.0,10.0,17.0,5.0,14.0,1.0,4.0,350.0,12.0,17.016666666666666
Jeff Carter,R,C,227.0,43.0,46.0,89.0,-31.0,0.39,29.0,66.0,11.0,19.0,3.0,4.0,2.0,8.0,429.0,10.0,14.666666666666666
Jeff Petry,R,D,202.0,14.0,68.0,82.0,-16.0,0.41,12.0,68.0,2.0,12.0,0.0,2.0,0.0,1.0,321.0,4.4,20.983333333333334
Jeff Skinner,L,C,233.0,92.0,99.0,191.0,-1.0,0.82,71.0,147.0,21.0,44.0,0.0,0.0,2.0,10.0,715.0,12.9,16.85
Jeffrey Viel,L,L,38.0,3.0,2.0,5.0,-2.0,0.13,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,8.8,8.85
Jeremy Lauzon,L,D,212.0,11.0,22.0,33.0,-20.0,0.16,11.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,4.3,17.766666666666666
